0,5482,,,,
2,8086,,,,
4,7500,,,,
6,7486,,,,
8,10076,,,,
10,17245,,,,
12,18172,,,,
14,24967,,,,
16,20634,,,,
18,20718,,,,
20,20811,,,,
22,25846,,,,
24,24106,,,,
26,23836,,,,
28,23210,,,,
30,26976,,,,
32,26587,,,,
34,26445,,,,
36,26021,,,,
38,29775,,,,
40,29357,,,,
42,29570,,,,
44,28706,,,,
46,31805,,,,
48,31449,,,,
50,33844,,,,
52,34040,,,,
54,37330,,,,
56,33388,,,,
58,38902,,,,
60,41479,,,,
62,37700,,,,
64,44489,,,,
66,51917,,,,
68,47815,,,,
70,50433,,,,
72,50135,,,,
74,57235,,,,
76,52809,,,,
78,55758,,,,
80,54568,,,,
82,55050,,,,
84,58819,,,,
86,58919,,,,
88,58415,,,,
90,57981,,,,
92,61243,,,,
94,60638,,,,
96,60246,,,,
98,59263,,,,
100,62752,,,,
102,62515,,,,
104,62173,,,,
106,,71845,,,
108,,74250,,,
110,,73688,,,
112,,73286,,,
114,,77014,,,
116,,78056,,,
118,,76779,,,
120,,75974,,,
122,,80131,,,
124,,79918,,,
126,,80160,,,
128,,79528,,,
130,,82622,,,
132,,82089,,,
134,,81760,,,
136,,81353,,,
138,,81453,,,
140,,81030,,,
142,,80305,,,
144,,79321,,,
146,,82758,,,
148,,81990,,,
150,,82131,,,
152,,82294,,,
154,,85190,,,
156,,87084,,,
158,,86310,,,
160,,83297,,,
162,,87484,,,
164,,88189,,,
166,,87196,,,
168,,87850,,,
170,,91807,,,
172,,90912,,,
174,,90238,,,
176,,90458,,,
178,,93921,,,
180,,93574,,,
182,,93950,,,
184,,93077,,,
186,,96836,,,
188,,96840,,,
190,,96616,,,
192,,95703,,,
194,,103282,,,
196,,99423,,,
198,,98693,,,
200,,98006,,,
202,,105367,,,
204,,107594,,,
206,,104635,,,
208,,104589,,,
210,,113883,,,
212,,125734,,,
214,,113846,,,
216,,113692,,,
218,,,,148628,
220,,,,148297,
222,,,,147948,
224,,,,147597,
226,,,,147226,
228,,,,146871,
230,,,,146497,
232,,,,146131,
234,,,,145758,
236,,,,145410,
238,,,,145067,
240,,,,144716,
242,,,,144373,
244,,,,144039,
246,,,,143695,
248,,,,143322,
250,,,,142972,
252,,,,142617,
254,,,,142292,
256,,,,141928,
258,,,,141564,
260,,,,141197,
262,,,,140819,
264,,,,140421,
266,,,,140072,
268,,,,139723,
270,,,,139405,
272,,,,139060,
274,,,,138719,
276,,,,138351,
278,,,,137984,
280,,,,137548,
282,,,,137127,
284,,,,136757,
286,,,,136376,
288,,,,136036,
290,,,,135692,
292,,,,135326,
294,,,,135003,
296,,,,134666,
298,,,,134332,
300,,,,133884,
302,,,,133545,
304,,,,133199,
306,,,,132869,
308,,,,132535,
310,,,,132200,
312,,,,131806,
314,,,,131472,
316,,,,131136,
318,,,,130809,
320,,,,130463,
322,,,,130134,
324,,,,129802,
326,,,,129464,
328,,,,129125,
330,,,,128776,
332,,,,128445,
334,,,,128123,
336,,,,127797,
338,,,,127464,
340,,,,127128,
342,,,,126797,
344,,,,126379,
346,,,,126030,
348,,,,125717,
350,,,,125372,
352,,,,125033,
354,,,,124697,
356,,,,124369,
358,,,,124065,
